Unnamed: 0,Unnamed: 1,Measured data,Unnamed: 3,Unnamed: 4,Unnamed: 5,Estimated data,Unnamed: 7,Unnamed: 8,Unnamed: 9
Site Time,POA Sensor,"SMA SC-1850-US - 1, AC Real Power","SMA SC-1850-US - 2, AC Real Power","SMA SC-1850-US - 3, AC Real Power",INV Sum,INV 1,INV 2,INV 3,INV Sum
2022-10-01 00:00:00,0,0,0,0,0,0,0,0,0
2022-10-01 01:00:00,0,0,0,0,0,0,0,0,0
2022-10-01 02:00:00,0,0,0,0,0,0,0,0,0
2022-10-01 03:00:00,0,0,0,0,0,0,0,0,0
2022-10-01 04:00:00,0,0,0,0,0,0,0,0,0
2022-10-01 05:00:00,0,0,0,0,0,0,0,0,0
2022-10-01 06:00:00,0,0,0,0,0,0,0,0,0
2022-10-01 07:00:00,7.945795,13.75,14.25,9.75,37.75,13.75,14.25,9.75,37.75
2022-10-01 08:00:00,45.10241,85,87.5,63,235.5,85,87.5,63,235.5
2022-10-01 09:00:00,133.4747,248.25,255,181,684.25,248.25,255,181,684.25
2022-10-01 10:00:00,230.8887,420.75,428.5,306,1155.25,420.75,428.5,306,1155.25
2022-10-01 11:00:00,328.7733,600.5,616,443.75,1660.25,600.5,616,443.75,1660.25
2022-10-01 12:00:00,437.2693,789.75,812.5,587.5,2189.75,789.75,812.5,587.5,2189.75
2022-10-01 13:00:00,651.7188,1127.75,1161.75,849.5,3139,1127.75,1161.75,849.5,3139
2022-10-01 14:00:00,428.7821,778,805.5,589,2172.5,778,805.5,589,2172.5
2022-10-01 15:00:00,242.7381,447,460,331.5,1238.5,447,460,331.5,1238.5
2022-10-01 16:00:00,259.6202,465.75,472.5,338.5,1276.75,465.75,472.5,338.5,1276.75
2022-10-01 17:00:00,158.4575,287.5,292.25,212.25,792,287.5,292.25,212.25,792
2022-10-01 18:00:00,28.28396,52,53.25,37.75,143,52,53.25,37.75,143
2022-10-01 19:00:00,0.4278275,1,1,0.5,2.5,1,1,0.5,2.5
2022-10-01 20:00:00,0,0,0,0,0,0,0,0,0
2022-10-01 21:00:00,0,0,0,0,0,0,0,0,0
2022-10-01 22:00:00,0,0,0,0,0,0,0,0,0
2022-10-01 23:00:00,0,0,0,0,0,0,0,0,0
2022-10-02 00:00:00,0,0,0,0,0,0,0,0,0
2022-10-02 01:00:00,0,0,0,0,0,0,0,0,0
2022-10-02 02:00:00,0,0,0,0,0,0,0,0,0
2022-10-02 03:00:00,0,0,0,0,0,0,0,0,0
2022-10-02 04:00:00,0,0,0,0,0,0,0,0,0
2022-10-02 05:00:00,0,0,0,0,0,0,0,0,0
2022-10-02 06:00:00,0,0,0,0,0,0,0,0,0
2022-10-02 07:00:00,12.12082,20.75,21.25,14.25,56.25,20.75,21.25,14.25,56.25
2022-10-02 08:00:00,115.7788,206,214,148.5,568.5,206,214,148.5,568.5
2022-10-02 09:00:00,268.2869,484.75,498.75,348,1331.5,484.75,498.75,348,1331.5
2022-10-02 10:00:00,229.0861,428.5,443,312.5,1184,428.5,443,312.5,1184
2022-10-02 11:00:00,157.5874,305.25,311.25,221.25,837.75,305.25,311.25,221.25,837.75
2022-10-02 12:00:00,230.2534,439.75,447,322.5,1209.25,439.75,447,322.5,1209.25
2022-10-02 13:00:00,516.1456,902,938.5,697.25,2537.75,902,938.5,697.25,2537.75
2022-10-02 14:00:00,279.4907,516.75,527.75,379,1423.5,516.75,527.75,379,1423.5
2022-10-02 15:00:00,214.9303,399,421.5,319.25,1139.75,399,421.5,319.25,1139.75
2022-10-02 16:00:00,164.413,305,314.75,226.5,846.25,305,314.75,226.5,846.25
2022-10-02 17:00:00,101.6367,184.75,187.5,132.75,505,184.75,187.5,132.75,505
2022-10-02 18:00:00,20.77497,40.25,40.75,28.5,109.5,40.25,40.75,28.5,109.5
2022-10-02 19:00:00,0.1183309,0.25,0.25,0,0.5,0.25,0.25,0,0.5
2022-10-02 20:00:00,0,0,0,0,0,0,0,0,0
2022-10-02 21:00:00,0,0,0,0,0,0,0,0,0
2022-10-02 22:00:00,0,0,0,0,0,0,0,0,0
2022-10-02 23:00:00,0,0,0,0,0,0,0,0,0
2022-10-03 00:00:00,0,0,0,0,0,0,0,0,0
2022-10-03 01:00:00,0,0,0,0,0,0,0,0,0
2022-10-03 02:00:00,0,0,0,0,0,0,0,0,0
2022-10-03 03:00:00,0,0,0,0,0,0,0,0,0
2022-10-03 04:00:00,0,0,0,0,0,0,0,0,0
2022-10-03 05:00:00,0,0,0,0,0,0,0,0,0
2022-10-03 06:00:00,0,0,0,0,0,0,0,0,0
2022-10-03 07:00:00,7.193042,12.5,12.25,8.5,33.25,12.5,12.25,8.5,33.25
2022-10-03 08:00:00,91.85951,165.5,170.75,120,456.25,165.5,170.75,120,456.25
2022-10-03 09:00:00,297.9036,548.5,566.75,389.25,1504.5,548.5,566.75,389.25,1504.5
2022-10-03 10:00:00,670.5524,1130,1165.5,797,3092.5,1130,1165.5,797,3092.5
2022-10-03 11:00:00,525.1992,914,922.75,717.75,2554.5,914,922.75,717.75,2554.5
2022-10-03 12:00:00,808.8154,1316.25,1338.75,1147,3802,1316.25,1338.75,1147,3802
2022-10-03 13:00:00,822.1486,1345.5,1352.25,1132.25,3830,1345.5,1352.25,1132.25,3830
2022-10-03 14:00:00,718.9003,1273.75,1276.25,1015.25,3565.25,1273.75,1276.25,1015.25,3565.25
2022-10-03 15:00:00,584.4265,1020.75,1042.5,767.5,2830.75,1020.75,1042.5,767.5,2830.75
2022-10-03 16:00:00,501.6736,929,991.5,746.75,2667.25,929,991.5,746.75,2667.25
2022-10-03 17:00:00,202.0484,382.75,394,290.75,1067.5,382.75,394,290.75,1067.5
2022-10-03 18:00:00,52.64247,92.5,84.75,63.5,240.75,92.5,84.75,63.5,240.75
2022-10-03 19:00:00,0.1796897,0.75,0.75,0.5,2,0.75,0.75,0.5,2
2022-10-03 20:00:00,0,0,0,0,0,0,0,0,0
2022-10-03 21:00:00,0,0,0,0,0,0,0,0,0
2022-10-03 22:00:00,0,0,0,0,0,0,0,0,0
2022-10-03 23:00:00,0,0,0,0,0,0,0,0,0
2022-10-04 00:00:00,0,0,0,0,0,0,0,0,0
2022-10-04 01:00:00,0,0,0,0,0,0,0,0,0
2022-10-04 02:00:00,0,0,0,0,0,0,0,0,0
2022-10-04 03:00:00,0,0,0,0,0,0,0,0,0
2022-10-04 04:00:00,0,0,0,0,0,0,0,0,0
2022-10-04 05:00:00,0,0,0,0,0,0,0,0,0
2022-10-04 06:00:00,0,0,0,0,0,0,0,0,0
2022-10-04 07:00:00,28.51166,33.75,40.5,15.25,89.5,33.75,40.5,15.25,89.5
2022-10-04 08:00:00,243.7464,404.75,463.5,266.75,1135,404.75,463.5,266.75,1135
2022-10-04 09:00:00,496.7437,940,1002,669.25,2611.25,940,1002,669.25,2611.25
2022-10-04 10:00:00,731.3469,1352.75,1408,978,3738.75,1352.75,1408,978,3738.75
2022-10-04 11:00:00,898.8445,1614,1645.75,1183.5,4443.25,1614,1645.75,1183.5,4443.25
2022-10-04 12:00:00,997.2416,1666,1666,1312,4644,1666,1666,1312,4644
2022-10-04 13:00:00,994.0394,1666,1666,1314,4646,1666,1666,1314,4646
2022-10-04 14:00:00,920.7984,1649.5,1659,1241.75,4550.25,1649.5,1659,1241.75,4550.25
2022-10-04 15:00:00,777.2354,1449.25,1470.75,1081.75,4001.75,1449.25,1470.75,1081.75,4001.75
2022-10-04 16:00:00,581.4022,1123,1131,848.75,3102.75,1123,1131,848.75,3102.75
2022-10-04 17:00:00,340.9557,652.5,641.75,499.75,1794,652.5,641.75,499.75,1794
2022-10-04 18:00:00,96.86455,157.25,142,114.25,413.5,157.25,142,114.25,413.5
2022-10-04 19:00:00,0.03919192,1.25,1,0.5,2.75,1.25,1,0.5,2.75
2022-10-04 20:00:00,0,0,0,0,0,0,0,0,0
2022-10-04 21:00:00,0,0,0,0,0,0,0,0,0
2022-10-04 22:00:00,0,0,0,0,0,0,0,0,0
2022-10-04 23:00:00,0,0,0,0,0,0,0,0,0
2022-10-05 00:00:00,0,0,0,0,0,0,0,0,0
2022-10-05 01:00:00,0,0,0,0,0,0,0,0,0
2022-10-05 02:00:00,0,0,0,0,0,0,0,0,0
2022-10-05 03:00:00,0,0,0,0,0,0,0,0,0
2022-10-05 04:00:00,0,0,0,0,0,0,0,0,0
2022-10-05 05:00:00,0,0,0,0,0,0,0,0,0
2022-10-05 06:00:00,0,0,0,0,0,0,0,0,0
2022-10-05 07:00:00,26.38948,31.75,37.75,14,83.5,31.75,37.75,14,83.5
2022-10-05 08:00:00,242.9132,395,453.25,260,1108.25,395,453.25,260,1108.25
2022-10-05 09:00:00,488.381,918.5,982.25,657.5,2558.25,918.5,982.25,657.5,2558.25
