Red Oak Solar Farm,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7
,,,,,,,
Timestamp,POA*,"SMA SC-800CP-US - A1, Pac","SMA SC-800CP-US - A2, Pac","SMA SC-800CP-US - B1, Pac","SMA SC-800CP-US - B2, Pac","SMA SC-800CP-US - C1, Pac","SMA SC-800CP-US - C2, Pac"
,W/m²,kW,kW,kW,kW,kW,kW
2022-10-01 00:00:00,0.2715602,,,0,,,0
2022-10-01 01:00:00,0.8469406,,,0,,,0
2022-10-01 02:00:00,0.3688991,,,0,,,0
2022-10-01 03:00:00,0,,,0,,,0
2022-10-01 04:00:00,0,,,0,,,0
2022-10-01 05:00:00,0,,,0,,,0
2022-10-01 06:00:00,0,,,0,,,0
2022-10-01 07:00:00,8.145185,,,0,,,0
2022-10-01 08:00:00,108.1039,,,96.80711,,,95.58466
2022-10-01 09:00:00,121.7346,,,112.8877,,,112.7566
2022-10-01 10:00:00,191.8034,,,169.5802,,,181.2295
2022-10-01 11:00:00,263.1233,,,253.6089,,,249.5036
2022-10-01 12:00:00,231.8336,,,218.0112,,,217.123
2022-10-01 13:00:00,248.1561,,,232.1215,,,233.3034
2022-10-01 14:00:00,277.4065,,,286.4734,,,272.8069
2022-10-01 15:00:00,221.127,,,203.8499,,,206.3101
2022-10-01 16:00:00,117.6734,,,108.5154,,,108.7792
2022-10-01 17:00:00,63.05476,,,56.87516,,,57.94145
2022-10-01 18:00:00,12.48384,,,10.42358,,,11.10397
2022-10-01 19:00:00,0,,,0,,,0
2022-10-01 20:00:00,0,,,0,,,0
2022-10-01 21:00:00,0,,,0,,,0
2022-10-01 22:00:00,0,,,0,,,0
2022-10-01 23:00:00,0,,,0,,,0
2022-10-02 00:00:00,0,,,0,,,0
2022-10-02 01:00:00,0,,,0,,,0
2022-10-02 02:00:00,0,,,0,,,0
2022-10-02 03:00:00,0,,,0,,,0
2022-10-02 04:00:00,0,,,0,,,0
2022-10-02 05:00:00,0,,,0,,,0
2022-10-02 06:00:00,0,,,0,,,0
